  8712  496270  162810 333460
  8801  477840  152830 325010
  8802  469800  135050 334750
  8803  537270  149590 387680
  8804  464000  137610 326390
  8805  479520  147140 332380
  8806  544680  174670 370010
  8807  572190  192510 379680
  8808  593850  198750 395100
  8809  469530  156200 313330
  8810  511440  131650 379790
  8811  481570  129740 351830
  8812  540730  171950 368780
  8901  560810  174240 386570
  8902  525640  149230 376410
  8903  597240  161580 435660
  8904  507800  135000 372800
  8905  495400  145120 350280
  8906  601900  179430 422470
  8907  618180  187200 430980
  8908  640840  195020 445820
  8909  495740  158810 336930
  8910  497880  132210 365670
  8911  520310  134930 385380
  8912  580080  183730 396350
  9001  580980  194510 386470
  9002  543600  166750 376850
  9003  590170  174060 416110
  9004  561230  170240 390990
  9005  540510  167150 373360
  9006  622620  197670 424950
  9007  669060  226880 442180
  9008  693940  237690 456250
  9009  516900  170020 346880
  9010  535170  164880 370290
  9011  537780  162910 374870
  9012  579210  218690 360520
  9101  539240  191210 348030
  9102  432550  118420 314130
  9103  537670  132970 404700
  9104  544140  158230 385910
  9105  551930  178340 373590
  9106  631150  214970 416180
  9107  685310  241140 444170
  9108  707710  248760 458950
  9109  565270  213420 351850
  9110  534070  180590 353480
  9111  542440  185430 357010
  9112  602410  225950 376460
  9201  550680  218030 332650
  9202  533610  210550 323060
  9203  537900  197820 340080
  9204  508170  176330 331840
  9205  518990  208680 310310
  9206  570790  236480 334310
  9207  584680  235070 349610
  9208  599300  242080 357220
  9209  519640  221860 297780
  9210  516780  179200 337580
  9211  521160  180420 340740
  9212  552180  227240 324940
  9301  534120  215640 318480
  9302  486400  174340 312060
  9303  539060  189830 349230
  9304  480940  162490 318450
  9305  489830  189930 299900
  9306  505490  199310 306180
  9307  553220  217230 335990
  9308  571570  237330 334240
  9309  464070  197170 266900
  9310  493900  178330 315570
  9311  483730  179990 303740
  9312  521900  218120 303780
  9401  499250  193080 306170
  9402  525080  193320 331760
  9403  591310  209920 381390
  9404  495050  162370 332680
  9405  488630  188250 300380
  9406  544040  198020 346020
  9407  584700  221650 363050
  9408  612550  246630 365920
  9409  495490  214620 280870
  9410  502870  185900 316970
  9411  525030  188870 336160
  9412  566300  229850 336450
  9501  541610  210980 330630
  9502  496920  168140 328780
  9503  583410  211680 371730
  9504  512820  175150 337670
  9505  503400  214210 289190
  9506  565950  223830 342120
  9507  632110  266380 365730
  9508  648570  277010 371560
  9509  515850  244440 271410
  9510  510860  199190 311670
  9511  539920  209200 330720
  9512  582420  255810 326610
